name,ticker,ca,amount,price,total_value,anti_whale_modifiable,buy_tax,can_take_back_ownership,cannot_buy,cannot_sell_all,creator_address,creator_balance,creator_percent,external_call,fake_token,hidden_owner,holder_count,honeypot_with_same_creator,is_airdrop_scam,is_anti_whale,is_blacklisted,is_honeypot,is_in_dex,is_mintable,is_open_source,is_proxy,is_true_token,is_whitelisted,lp_holder_count,lp_total_supply,note,other_potential_risks,owner_address,owner_balance,owner_change_balance,owner_percent,personal_slippage_modifiable,selfdestruct,sell_tax,slippage_modifiable,token_name,token_symbol,total_supply,trading_cooldown,transfer_pausable,trust_list
Wrapped BTC,WBTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,162.68962169,87741.0,14274550.1,False,0.0,False,False,False,0x8b41783ad99fcbeb8d575fa7a7b5a04fa0b8d80b,0.0,0.0,False,,False,121658.0,False,,False,False,False,True,True,True,False,,False,10.0,7320061073.950401,,,0xca06411bd7a7296d7dbdd0050dfc846e95febeb7,0.0,0.0,0.0,False,False,0.0,False,Wrapped BTC,WBTC,128915.05657878,False,True,True
Tether USD,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,11195273.789443,1.0,11195273.79,False,0.0,False,False,False,0x36928500bc1dcd7af6a2b4008875cc336b927d57,2243.250365,0.0,True,,False,1.0,False,,False,True,False,True,True,True,False,,False,10.0,4933154003144.578,,,0xc6cde7c39eb2f0f0095f41570af89efc2c1ea828,108983.76699,1.0,1e-06,False,False,0.0,True,Tether USD,USDT,75893458264.46202,False,True,True
stETH,stETH,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,4980.30497976,2058.83,10253601.3,False,0.0,False,False,False,0xb8ffc3cd6e7cf5a098a1c92f48009765b24088dc,0.0,0.0,False,,False,512372.0,False,,False,False,False,True,False,True,True,,False,46.0,542.3059008278559,,,,,,,False,False,0.0,False,Liquid staked Ether 2.0,stETH,9349235.246611865,False,False,False
TRON,TRX,0x50327c6c5a14dcade707abad2e27eb517df87ab5,40718117.726575,0.229,9323186.7,False,0.0,False,False,False,0xd6d24c5c89001c02826127957d05535ffabe5c2c,0.5,0.0,False,,False,15763.0,False,,False,False,False,True,True,True,False,,False,4.0,16312801340800.768,,,,0.0,0.0,0.0,False,False,0.0,False,TRON,TRX,298676285.61119,False,False,False
Aave Ethereum USDC,aEthUSDC,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c,5018607.666573,0.9999,5018155.99,False,0.0,False,False,False,0xf71fc92e2949ccf6a5fd369a0b402ba80bc61e02,0.0,0.0,False,,False,8960.0,False,,False,False,False,False,False,True,True,,False,,,,,,,,,False,False,0.0,False,Aave Ethereum USDC,aEthUSDC,2802841799.749036,False,False,False
WhiteRock,WHITE,0x9cdf242ef7975d8c68d5c1f5b6905801699b1940,10000000000.0,0.0005,4636600.0,False,0.0,False,False,False,0x287ecebd1223e235b929217fe596c905a11752ae,0.0,0.0,False,,False,11733.0,False,,False,False,False,True,False,True,True,,False,3.0,41.4011603554507,,,,,,,False,False,0.0,False,WhiteRock,WHITE,1000000000000.0,False,False,False
Movement,MOVE,0x3073f7aaa4db83f95e9fff17424f71d4751a3073,7580835.84821112,0.5462,4140834.48,False,0.0001,False,False,False,0x3eb69ef2dbedd5d58aa5e074131cd22d5e87ff53,0.0,0.0,False,,False,22067.0,False,,False,False,False,True,False,True,True,,False,10.0,3433380810.3005276,,,,,,,False,False,0.0,False,Movement,MOVE,10000000000.0,False,False,False
USDC,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1275996.863079,0.9999,1275816.95,False,0.0,False,False,False,0x95ba4cf87d6723ad9c0db21737d862be80e93911,2394.339755,0.0,False,,False,2894715.0,False,,False,False,False,True,False,True,True,,False,10.0,34592163986969.574,,,,,,,False,False,0.0,False,USD Coin,USDC,39812466941.06016,False,False,True
Ondo,ONDO,0xfaba6f8e4a5e8ab82f62fe7c39859fa577269be3,342002.28055584,0.9463,323632.65,False,0.0,False,False,False,0xe2d0f9dcc81267c36a47d9e26adf479501124bbe,0.0,0.0,False,,False,128177.0,False,,True,False,False,True,False,True,False,,False,4.0,655.2491570866636,,,,0.0,0.0,0.0,False,False,0.0001,False,Ondo,ONDO,10000000000.0,False,True,False
SEI,SEI,0xbdf43ecadc5cef51b7d1772f722e40596bc1788b,1089231.77779216,0.2163,235572.51,False,0.0,False,False,False,0x35549e6ae2eb7cc984b80a75d099a6b868545332,0.0,0.0,False,,False,203.0,False,,False,False,False,True,False,True,False,,False,2.0,137.05703428678223,,,0x35549e6ae2eb7cc984b80a75d099a6b868545332,0.0,0.0,0.0,False,False,0.0001,False,SEI,SEI,48649758.376865,False,False,False
